Event Name,Event Date,Event Type,Country,Region,US State,City,Event Format,Event URL
Cybersecurity Fundamentals tra...,2026-11-09,Training,Netherlands Antilles,APAC,,Close to Amsterdam,Physical,Link
Certified Cost Technician (CCT...,2026-10-26,Training,Netherlands,APAC,,Amsterdam,Physical,Link
Identity Management & Access C...,2026-09-23,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
ISO 31000 Risk Management,2026-09-09,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
World Conference on Cyber Secu...,2026-07-31,Conference,Canada,Online,,Ottawa,Physical,Link
Global Summit on Nursing & Hea...,2026-06-15,Conference,United States,North America,Georgia,"Atlanta, USA",Hybrid (Both),Link
ISO 31000 Risk Management,2026-06-10,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
SecretCon 4 2026,2026-06-04,Conference,United States,North America,Minnesota,St Paul,Physical,Link
SINCON 2026,2026-05-21,Conference,Singapore,APAC,,Singapore,Physical,Link
SWISS GRC DAY 2026,2026-05-20,Conference,Switzerland,EMEA,,Zurich,Physical,Link
Red Hot Cyber Conference 2026,2026-05-18,Conference,Italy,EMEA,,Rome,Physical,Link
TechEx North America 2026,2026-05-18,Conference,United States,North America,California,Los Angeles,Physical,Link
RightsCon 2026,2026-05-05,Conference,Zambia,Africa,,Lusaka,Hybrid (both),Link
IAM Tech Day Brazil 2026,2026-04-22,Conference,Brazil,LATAM,,São Paulo,Physical,Link
Certified Cost Technician (CCT...,2026-04-13,Training,Netherlands,APAC,,Amsterdam,Physical,Link
Women In Technology 2026,2026-04-09,Conference,United States,North America,North Carolina,Boone,Physical,Link
Cyber Leaders' Summit 2026,2026-04-07,Conference,United Kingdom,EMEA,,London,Physical,Link
CypherCon 9 2026,2026-04-01,Conference,United States,North America,Wisconsin,Milwaukee,Physical,Link
Gen AI Conference NYC 2026,2026-03-23,Conference,United States,North America,New York,New York City,Physical,Link
Identity Management & Access C...,2026-03-16,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
ISO 31000 Risk Management,2026-03-11,Training,Netherlands,EMEA,,Amsterdam,Physical,Link
International Conference on Cy...,2026-03-05,Conference,United States,North America,North Carolina,Wilmington,Hybrid (both),Link
Zero Trust World 2026,2026-03-04,Conference,United States,North America,Florida,Orlando,Physical,Link
Apres-Cyber Slopes Summit 2026,2026-02-25,Conference,United States,North America,Utah,Park City,Physical,Link
Cloud Security USA Conference ...,2026-02-24,Conference,United States,North America,New York,New York City,Physical,Link
Cloud Security USA Conference ...,2026-02-24,Conference,United States,North America,New York,New York City,Physical,Link
COSAC APAC 2026,2026-02-24,Conference,Australia,APAC,,Melbourne,Physical,Link
Cloud USA 2025,2026-02-24,Conference,United States,North America,New York,New York CIty,Physical,Link
Fintech Week Dubai 2025,2026-02-17,Conference,United Kingdom,EMEA,,London,Physical,Link
2nd Fintech Week: Dubai 2026,2026-02-17,Conference,United Arab Emirates,EMEA,,Dubai,Physical,Link
Cybersecurity Fundamentals tra...,2026-02-10,Training,Netherlands,APAC,,Close to Amsterdam,Physical,Link
Wild West Hackin' Fest @ Mile ...,2026-02-10,Conference,United States,North America,Colorado,Denver,Hybrid (both),Link
TechEx Global 2026,2026-02-04,Conference,United Kingdom,EMEA,,London,Physical,Link
Cybersec Asia x Thailand Inter...,2026-02-04,Conference,Thailand,,,Bangkok,Physical,Link
CISO Forum Canada 2026,2026-02-04,Conference,Canada,North America,,Toronto,Physical,Link
SANS Rockville 2026,2026-02-02,Training,United States,North America,Maryland,Rockville,Hybrid (Both),Link
SANS Nashville Winter 2026,2026-01-12,Training,United States,North America,Tennessee,Nashville,Hybrid (Both),Link
Chaos Communication Congress -...,2025-12-27,Conference,Germany,EMEA,,Hamburg,Hybrid (both),Link
CyberRisk CISO Dinner: Portlan...,2025-12-17,Conference,United States,North America,Oregon,Portland,Physical,Link
QCon AI 2025 | December 16-17,2025-12-16,Conference,United States,North America,New York,New York,Physical,Link
SANS Cyber Defense Initiative ...,2025-12-12,Training,United States,North America,District of Columbia,Washington,Hybrid (both),Link
Defenders Tour: Technical SecO...,2025-12-11,Training,United States,North America,Virginia,Arlington,Physical,Link
